,FBProphet,XGBoost,Arima_rsme_optimal,arima_AIC,Actual,LSTM,Date
1247,7109.151729026386,6121.354,6758.827976355606,6749.598136661704,6090.100098,6346.6865234375,2018-06-23
1248,7157.882305177058,6166.1895,6103.9528565975,6100.768942780785,6164.279785,5962.22607421875,2018-06-24
1249,7175.427026087318,6155.747,6162.472691742827,6175.069193132931,6171.970215,6794.34521484375,2018-06-25
1250,7214.560651474487,6226.602,6188.674904316539,6182.772116313793,6253.549805,9271.1650390625,2018-06-26
1251,7223.167253351268,6130.206,6261.600066569337,6264.484164632562,6084.399902,7022.8125,2018-06-27
1252,7235.567246514342,6160.423,6090.961778686838,6095.059477972277,6153.160156,4125.7255859375,2018-06-28
1253,7242.965589565361,5910.5024,6165.3132172149935,6163.931498203732,5898.129883,7556.66064453125,2018-06-29
1254,7272.171031145125,6210.085,5909.874231408548,5908.486227535986,6214.220215,5013.3994140625,2018-06-30
1255,7306.146974500671,6411.574,6211.4754959093125,6225.090731959021,6411.680176,9837.224609375,2018-07-01
1256,7308.623098567547,6371.459,6426.0481434763415,6422.87093537103,6380.379883,5990.81689453125,2018-07-02
1257,7332.489586552061,6583.8843,6393.246388344277,6391.5199270675,6596.660156,6903.9541015625,2018-07-03
1258,7325.736194374627,6587.1123,6594.530915537991,6608.150275146182,6550.870117,5584.5205078125,2018-07-04
1259,7322.779128429807,6610.795,6569.9806442287445,6562.286189283348,6599.709961,3302.667724609375,2018-07-05
1260,7314.909534686261,6621.398,6609.021678371607,6611.205010657842,6638.689941,4577.759765625,2018-07-06
1261,7329.013404287842,6655.458,6639.580956083937,6650.247993825385,6668.709961,7137.8984375,2018-07-07
1262,7348.123387039119,6858.991,6688.808596993602,6680.316516932959,6857.799805,6270.22998046875,2018-07-08
1263,7336.0315607960465,6770.686,6860.278771618166,6869.711514474167,6775.080078,4620.390625,2018-07-09
1264,7345.684913204154,6749.8105,6785.56808290654,6786.858369582509,6739.209961,7485.138671875,2018-07-10
1265,7325.125673344817,6336.027,6756.836698237995,6750.930361703058,6330.77002,7903.06396484375,2018-07-11
1266,7308.819371749356,6362.6045,6340.009106829317,6341.829645443779,6396.779785,8110.86083984375,2018-07-12
